,pvalues,AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT),NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT),tp_flags,Mutational_Freq,adjusted_pvalue
TNRC6B,0.095492588,0.05,0.211856171,TRUE,0.204626335,0.504133712
VPS13C,0.107376041,0.37037037,0.231755424,TRUE,0.229904927,0.504133712
UTRN,0.108312688,0.333333333,0.187311178,TRUE,0.204504505,0.504133712
HELZ2,0.108622187,0.333333333,0.187689203,TRUE,0.217506631,0.504133712
HMCN1,0.109287728,0.555555556,0.389830508,TRUE,0.385952209,0.504133712
CDH23,0.116358358,0.363636364,0.216269841,TRUE,0.253833049,0.519976412
LRP1B,0.12644821,0.611111111,0.470391993,TRUE,0.472257251,0.537699341
TENM2,0.127844599,0.333333333,0.203423968,TRUE,0.229020979,0.537699341
SI,0.156443633,0.321428571,0.206175299,TRUE,0.23907455,0.613887667
DNAH10,0.161579432,0.416666667,0.27047619,TRUE,0.279375514,0.613887667
TENM4,0.163442884,0.333333333,0.198404786,TRUE,0.217813051,0.613887667
FLG,0.165446675,0.19047619,0.359582543,TRUE,0.40431869,0.613887667
MGA,0.167423909,0.333333333,0.221899225,TRUE,0.219618056,0.613887667
HYDIN,0.181905291,0.318181818,0.200400802,TRUE,0.230434783,0.641974506
TNXB,0.190749409,0.1,0.233980583,TRUE,0.261884904,0.641974506
LRRK2,0.196055664,0.304347826,0.197768763,TRUE,0.231514085,0.641974506
DCHS2,0.196405711,0.392857143,0.272121789,TRUE,0.285365854,0.641974506
CHD7,0.199838354,0.28,0.182089552,TRUE,0.212467076,0.641974506
TENM3,0.202019949,0.333333333,0.209325397,TRUE,0.224152911,0.641974506
PXDNL,0.22817691,0.05,0.17413442,TRUE,0.211229947,0.680388514
HUWE1,0.232623752,0.05,0.182089552,TRUE,0.209465381,0.680388514
DMD,0.23276589,0.375,0.251189343,TRUE,0.277822908,0.680388514
RYR2,0.23314012,0.576923077,0.448858833,TRUE,0.465494792,0.680388514
MUC5B,0.243835215,0.19047619,0.321262767,TRUE,0.34887218,0.697368714
WDFY3,0.259651068,0.272727273,0.177189409,TRUE,0.204524887,0.714280409
TP53,0.259738331,0.84,0.714285714,TRUE,0.712104689,0.714280409
KIAA1109,0.271778397,0.4,0.295283019,TRUE,0.301049233,0.720362908
APOB,0.274124018,0.416666667,0.312320917,TRUE,0.348096348,0.720362908
TRRAP,0.280190935,0.095238095,0.215820313,TRUE,0.230703259,0.720362908
MYO9A,0.283165818,0.272727273,0.187817259,TRUE,0.201091902,0.720362908
RANBP2,0.287137663,0.318181818,0.209325397,TRUE,0.218887908,0.720362908
MKI67,0.298361989,0.291666667,0.197979798,TRUE,0.21657754,0.735616628
LAMA2,0.303586165,0.304347826,0.211972522,TRUE,0.232698962,0.735810534
UNC79,0.31922259,0.291666667,0.210526316,TRUE,0.232437121,0.755000564
DNHD1,0.322063178,0.318181818,0.233429395,TRUE,0.241962775,0.755000564
NIPBL,0.34020121,0.333333333,0.245463228,TRUE,0.22813036,0.78465763
URB1,0.354157682,0.25,0.162718847,TRUE,0.200913242,0.78600169
DNAH7,0.356812401,0.375,0.278152069,TRUE,0.315208826,0.78600169
MUC16,0.360791405,0.638888889,0.707393484,TRUE,0.66,0.78600169
DNAH11,0.367951334,0.346153846,0.261974585,TRUE,0.317535545,0.78600169
DCHS1,0.394597562,0.238095238,0.174089069,TRUE,0.205150977,0.78600169
SDK1,0.396940948,0.1,0.200398804,TRUE,0.214411248,0.78600169
GNAS,0.398159539,0.1,0.19172553,TRUE,0.208258528,0.78600169
KALRN,0.398355266,0.1,0.205852674,TRUE,0.227070347,0.78600169
CEP350,0.398702753,0.1,0.190524194,TRUE,0.2,0.78600169
DIDO1,0.411505565,0.285714286,0.204975124,TRUE,0.226033421,0.78600169
TCHH,0.412384097,0.272727273,0.194528875,TRUE,0.222912966,0.78600169
EP400,0.421876947,0.285714286,0.212512413,TRUE,0.229551451,0.78600169
DYSF,0.424381212,0.25,0.18389662,TRUE,0.204585538,0.78600169
CHD9,0.428659924,0.272727273,0.205561072,TRUE,0.215357458,0.78600169
USH2A,0.433879849,0.518518519,0.432809773,TRUE,0.442190669,0.78600169
KMT2C,0.434285708,0.464285714,0.384823848,TRUE,0.371471025,0.78600169
DNAH17,0.438098336,0.142857143,0.238235294,TRUE,0.308300395,0.78600169
CELSR3,0.439721225,0.142857143,0.229873909,TRUE,0.219237435,0.78600169
HERC1,0.447911265,0.304347826,0.224828935,TRUE,0.242808799,0.790756924
RNF213,0.465577433,0.19047619,0.289449113,TRUE,0.275184275,0.811725383
DST,0.471141306,0.516129032,0.449541284,TRUE,0.42752171,0.811725383
XIRP2,0.484150985,0.363636364,0.294449671,TRUE,0.31738437,0.824209415
VPS13B,0.499645622,0.307692308,0.252427184,TRUE,0.268109908,0.831702515
HERC2,0.510708208,0.375,0.312673451,TRUE,0.308352849,0.831702515
PLXNB1,0.521631982,0.19047619,0.13963039,TRUE,0.213913043,0.831702515
ROBO2,0.555433254,0.1,0.18071066,TRUE,0.213969938,0.831702515
KRAS,0.557564997,0.1,0.185850053,TRUE,0.235347985,0.831702515
FREM2,0.558698326,0.1,0.187311178,TRUE,0.209777778,0.831702515
FLNB,0.564162746,0.238095238,0.180080483,TRUE,0.204647006,0.831702515
CNTNAP2,0.565647207,0.217391304,0.162886598,TRUE,0.200362647,0.831702515
TENM1,0.567190237,0.217391304,0.164467005,TRUE,0.2,0.831702515
CELSR1,0.571891984,0.217391304,0.168662675,TRUE,0.206086957,0.831702515
MGAM,0.5749364,0.217391304,0.171052632,TRUE,0.216358839,0.831702515
SMARCA4,0.591475913,0.15,0.218655968,TRUE,0.214607755,0.831702515
EYS,0.591551022,0.15,0.232071713,TRUE,0.282971619,0.831702515
CHD8,0.591705892,0.15,0.232264334,TRUE,0.211317418,0.831702515
ABCA12,0.595338347,0.217391304,0.183467742,TRUE,0.213842059,0.831702515
USP34,0.600693183,0.272727273,0.217137293,TRUE,0.221447254,0.831702515
FMN2,0.602553905,0.260869565,0.207831325,TRUE,0.250214961,0.831702515
DSCAM,0.604383002,0.260869565,0.210059172,TRUE,0.223183391,0.831702515
LAMA5,0.614854191,0.2,0.277724204,TRUE,0.289711934,0.831702515
BIRC6,0.615060355,0.2,0.278982092,TRUE,0.291364003,0.831702515
MYCBP2,0.62176628,0.181818182,0.258426966,TRUE,0.258564437,0.831702515
KMT2A,0.623294524,0.173913043,0.234313725,TRUE,0.233913043,0.831702515
COL11A1,0.633484427,0.291666667,0.246561886,TRUE,0.258561644,0.831702515
AHNAK2,0.635589305,0.318181818,0.275763359,TRUE,0.303398058,0.831702515
LAMA1,0.636621372,0.304347826,0.262795276,TRUE,0.283919598,0.831702515
LRP1,0.639771165,0.227272727,0.286915888,TRUE,0.282942603,0.831702515
ABCA2,0.755578993,0.1,0.157520325,TRUE,0.204063604,0.928638999
CNTNAP5,0.769637989,0.19047619,0.169387755,TRUE,0.209677419,0.928638999
KIAA1549,0.778638026,0.2,0.18756371,TRUE,0.205429864,0.928638999
COL22A1,0.779643594,0.15,0.20242915,TRUE,0.221128021,0.928638999
PRUNE2,0.780512412,0.181818182,0.17107943,TRUE,0.211879433,0.928638999
IGFN1,0.780985456,0.15,0.190716448,TRUE,0.224183583,0.928638999
VPS13A,0.782598368,0.136363636,0.189568706,TRUE,0.206648697,0.928638999
MYO15A,0.783793127,0.238095238,0.203740157,TRUE,0.223752151,0.928638999
NF1,0.785349171,0.227272727,0.195804196,TRUE,0.234226448,0.928638999
COL12A1,0.790471284,0.227272727,0.204854369,TRUE,0.222318339,0.928638999
ZNF292,0.791993743,0.238095238,0.218274112,TRUE,0.209366391,0.928638999
UNC80,0.792265439,0.227272727,0.207436399,TRUE,0.244778613,0.928638999
CENPF,0.810687042,0.24,0.2243083,TRUE,0.228621291,0.942506073
ABCA13,0.824163123,0.318181818,0.356417359,TRUE,0.372075472,0.950446182
DNAH5,0.837710984,0.384615385,0.360888889,TRUE,0.365482234,0.958341366
DSP,1,0.15,0.186559679,TRUE,0.211504425,1
EP300,1,0.19047619,0.212807882,TRUE,0.245943638,1
ACACB,1,0.181818182,0.181818182,TRUE,0.206866197,1
UBR5,1,0.2,0.205103042,TRUE,0.203359859,1
DNAH1,1,0.2,0.222546161,TRUE,0.24173028,1
DNAH6,1,0.2,0.21816387,TRUE,0.265676568,1
ARID1A,1,0.318181818,0.308048104,TRUE,0.285016287,1
WDFY4,1,0.2,0.194388778,TRUE,0.238922676,1
FRAS1,1,0.19047619,0.225172075,TRUE,0.249788315,1
MUC4,1,0.4,0.394545455,TRUE,0.447476126,1
TTN,1,0.917808219,0.906143345,TRUE,0.74803651,1
BSN,1,0.181818182,0.217221135,TRUE,0.233532934,1
KMT2D,1,0.409090909,0.421276596,TRUE,0.419092756,1
PTEN,1,0.227272727,0.241210938,TRUE,0.235652174,1
RIMS2,1,0.260869565,0.254882813,TRUE,0.258723404,1
TNRC18,1,0.272727273,0.261700096,TRUE,0.258577406,1
RELN,1,0.291666667,0.290821256,TRUE,0.304808476,1
RYR3,1,0.304347826,0.313084112,TRUE,0.327131783,1
