,pvalues,AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT),NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT),Mutational_frequency_filter_pass,Mutational_Freq,adjusted_pvalue
KIAA1109,1,0,0.28,TRUE,0.375,1
CELSR2,1,0,0.230769231,TRUE,0.333333333,1
FMN2,1,0,0.230769231,TRUE,0.258064516,1
ADCY8,1,0,0.153846154,TRUE,0.342857143,1
TMEM151A,1,0,0.153846154,TRUE,0.206896552,1
MUC16,1,1,0.666666667,TRUE,0.811594203,1
AHNAK2,1,0,0.379310345,TRUE,0.441176471,1
DNAH10,1,0,0.24,TRUE,0.230769231,1
DMD,1,0,0.24,TRUE,0.333333333,1
SCIN,1,0,0.166666667,TRUE,0.214285714,1
KIAA0100,1,0,0.083333333,TRUE,0.233333333,1
REV3L,1,0,0.08,TRUE,0.2,1
TENM1,1,0,0.083333333,TRUE,0.2,1
PHF20,1,0,0.125,TRUE,0.258064516,1
CDH1,1,0,0.208333333,TRUE,0.275862069,1
DNAH5,1,0,0.12,TRUE,0.28125,1
USH2A,1,0,0.307692308,TRUE,0.405405405,1
TPR,1,0,0.25,TRUE,0.310344828,1
ARHGEF5,1,0,0.208333333,TRUE,0.275862069,1
POLQ,1,0,0.16,TRUE,0.214285714,1
KMT2C,1,0,0.333333333,TRUE,0.470588235,1
LAMC2,1,0,0.166666667,TRUE,0.214285714,1
COL11A1,1,0,0.125,TRUE,0.233333333,1
AHRR,1,0,0.12,TRUE,0.233333333,1
ABCA7,1,0,0.192307692,TRUE,0.225806452,1
KIF26A,1,0,0.083333333,TRUE,0.28125,1
MYO9A,1,0,0.12,TRUE,0.258064516,1
TP53BP1,1,0,0.083333333,TRUE,0.206896552,1
TTC7A,1,0,0.125,TRUE,0.214285714,1
CELSR1,1,0,0.166666667,TRUE,0.24137931,1
PLXNA2,1,0,0.16,TRUE,0.214285714,1
TNRC6C,1,0,0.041666667,TRUE,0.2,1
RIF1,1,0,0.166666667,TRUE,0.214285714,1
IGSF9B,1,0,0.083333333,TRUE,0.225806452,1
AFP,1,0,0.083333333,TRUE,0.206896552,1
LRP2,1,0,0.083333333,TRUE,0.303030303,1
COL19A1,1,0,0.125,TRUE,0.233333333,1
GEMIN5,1,0,0.083333333,TRUE,0.206896552,1
KAT6A,1,0,0.041666667,TRUE,0.2,1
APOB,1,0,0.2,TRUE,0.290322581,1
NID2,1,0,0.083333333,TRUE,0.206896552,1
ESF1,1,0,0.208333333,TRUE,0.275862069,1
RCOR1,1,0,0.083333333,TRUE,0.206896552,1
SI,1,0,0.083333333,TRUE,0.233333333,1
MYO15A,1,0,0.083333333,TRUE,0.206896552,1
MYH7,1,0,0.2,TRUE,0.24137931,1
TRPM7,1,0,0.041666667,TRUE,0.2,1
TDRD1,1,0,0.041666667,TRUE,0.225806452,1
MYO3A,1,0,0.125,TRUE,0.233333333,1
ITPR3,1,0,0.346153846,TRUE,0.275862069,1
DSP,1,0,0.125,TRUE,0.290322581,1
MYH9,1,0,0.269230769,TRUE,0.290322581,1
TNRC6B,1,0,0.125,TRUE,0.290322581,1
KIAA0586,1,0,0.083333333,TRUE,0.206896552,1
CHD8,1,0,0.166666667,TRUE,0.214285714,1
CDH20,1,0,0.041666667,TRUE,0.225806452,1
CEP192,1,0,0.125,TRUE,0.28125,1
LAMA1,1,0,0.291666667,TRUE,0.333333333,1
ZNF423,1,0,0.208333333,TRUE,0.285714286,1
CEP152,1,0,0.083333333,TRUE,0.206896552,1
RP1,1,0,0.083333333,TRUE,0.258064516,1
UBR5,1,0,0,TRUE,0.21875,1
DNAH11,1,0,0.166666667,TRUE,0.3125,1
AEBP1,1,0,0.041666667,TRUE,0.225806452,1
PRUNE2,1,0,0.16,TRUE,0.206896552,1
CUBN,1,0,0.083333333,TRUE,0.303030303,1
ANKRD26,1,0,0.16,TRUE,0.290322581,1
KIAA1211,1,0,0.125,TRUE,0.266666667,1
EXPH5,1,0,0.083333333,TRUE,0.258064516,1
TRPV4,1,0,0.166666667,TRUE,0.24137931,1
CUX2,1,0,0.08,TRUE,0.272727273,1
GYS2,1,0,0.041666667,TRUE,0.2,1
MDN1,1,0,0.208333333,TRUE,0.322580645,1
CUL9,1,0,0.208333333,TRUE,0.3,1
CNTN3,1,0,0.083333333,TRUE,0.206896552,1
SMC4,1,0,0.166666667,TRUE,0.266666667,1
DNAH1,1,0,0.16,TRUE,0.24137931,1
APC2,1,0,0.125,TRUE,0.3125,1
USP34,1,0,0.192307692,TRUE,0.388888889,1
ABCB6,1,0,0.083333333,TRUE,0.2,1
BIRC6,1,0,0.25,TRUE,0.4,1
TNR,1,0,0.16,TRUE,0.290322581,1
CHD5,1,0,0.125,TRUE,0.24137931,1
ASH1L,1,0,0.208333333,TRUE,0.382352941,1
DOCK7,1,0,0.2,TRUE,0.222222222,1
SIPA1L2,1,0,0.2,TRUE,0.275862069,1
ARID1A,1,0,0.407407407,TRUE,0.387096774,1
CENPF,1,0,0.2,TRUE,0.3125,1
MUC5B,1,0,0.37037037,TRUE,0.538461538,1
KMT2A,1,0,0.25,TRUE,0.322580645,1
PHF3,1,0,0.041666667,TRUE,0.225806452,1
PPL,1,0,0.2,TRUE,0.24137931,1
DNAH7,1,0,0.384615385,TRUE,0.526315789,1
CNTRL,1,0,0.208333333,TRUE,0.290322581,1
UTP20,1,0,0.12,TRUE,0.233333333,1
KIAA1549,1,0,0.041666667,TRUE,0.25,1
ITIH5,1,0,0.25,TRUE,0.285714286,1
PREX1,1,0,0.041666667,TRUE,0.2,1
CHD6,1,0,0.041666667,TRUE,0.2,1
ARFGEF2,1,0,0.083333333,TRUE,0.233333333,1
AHNAK,1,0,0.208333333,TRUE,0.382352941,1
POLR1B,1,0,0.083333333,TRUE,0.206896552,1
SCAF1,1,0,0.125,TRUE,0.214285714,1
AHDC1,1,0,0.083333333,TRUE,0.206896552,1
SMARCA4,1,0,0.166666667,TRUE,0.206896552,1
TUBGCP6,1,0,0.125,TRUE,0.233333333,1
MGAT3,1,0,0.166666667,TRUE,0.24137931,1
KRT17,1,0,0,TRUE,0.21875,1
FLNC,1,0,0.125,TRUE,0.266666667,1
HERC2,1,0,0.208333333,TRUE,0.333333333,1
WDFY4,1,0,0.166666667,TRUE,0.352941176,1
VPS13C,1,0,0.25,TRUE,0.25,1
USP6,1,0,0.2,TRUE,0.214285714,1
LAMA5,1,0,0.125,TRUE,0.290322581,1
ZNF236,1,0,0.125,TRUE,0.24137931,1
VPS13B,1,0,0.444444444,TRUE,0.564102564,1
NES,1,0,0.16,TRUE,0.333333333,1
UNC79,1,0,0.041666667,TRUE,0.2,1
ROCK2,1,0,0.16,TRUE,0.3125,1
APC,1,0,0.041666667,TRUE,0.225806452,1
TBX3,1,0,0.166666667,TRUE,0.214285714,1
KRT85,1,0,0.125,TRUE,0.24137931,1
URB2,1,0,0.125,TRUE,0.24137931,1
CEP350,1,0,0.2,TRUE,0.275862069,1
ANKRD36,1,0,0.083333333,TRUE,0.2,1
SCN2A,1,0,0.16,TRUE,0.214285714,1
KIF13A,1,0,0.083333333,TRUE,0.206896552,1
MDC1,1,0,0.125,TRUE,0.206896552,1
MYO7A,1,0,0.083333333,TRUE,0.272727273,1
UNC13C,1,0,0.166666667,TRUE,0.275862069,1
ARHGAP29,1,0,0.083333333,TRUE,0.258064516,1
IFT172,1,0,0.125,TRUE,0.214285714,1
TET1,1,0,0.2,TRUE,0.266666667,1
SMARCAL1,1,0,0.16,TRUE,0.206896552,1
CENPE,1,0,0.12,TRUE,0.303030303,1
LUM,1,0,0.16,TRUE,0.24137931,1
RB1,1,0,0.12,TRUE,0.206896552,1
PML,1,0,0.041666667,TRUE,0.2,1
ABCA8,1,0,0.208333333,TRUE,0.34375,1
TP53,1,1,0.625,TRUE,0.828125,1
CBX8,1,0,0.166666667,TRUE,0.222222222,1
BRD4,1,0,0.32,TRUE,0.269230769,1
URB1,1,0,0.166666667,TRUE,0.352941176,1
FLG2,1,0,0.16,TRUE,0.206896552,1
FLG,1,1,0.5,TRUE,0.652173913,1
ETAA1,1,0,0.125,TRUE,0.206896552,1
ABCA12,1,0,0.041666667,TRUE,0.2,1
SLIT2,1,0,0.125,TRUE,0.206896552,1
BDP1,1,0,0.125,TRUE,0.206896552,1
TENM2,1,0,0.166666667,TRUE,0.266666667,1
SDK1,1,0,0.375,TRUE,0.321428571,1
DOCK11,1,0,0.041666667,TRUE,0.2,1
PXDNL,1,0,0.125,TRUE,0.233333333,1
SEC16A,1,0,0.041666667,TRUE,0.272727273,1
MKI67,1,0,0.083333333,TRUE,0.258064516,1
TENM4,1,0,0.083333333,TRUE,0.233333333,1
FREM2,1,0,0.166666667,TRUE,0.266666667,1
DIP2C,1,0,0.125,TRUE,0.233333333,1
MAGI1,1,0,0.16,TRUE,0.258064516,1
DST,1,0,0.516129032,TRUE,0.568181818,1
UTRN,1,0,0.166666667,TRUE,0.214285714,1
SCN3A,1,0,0.208333333,TRUE,0.333333333,1
CEP112,1,0,0.12,TRUE,0.206896552,1
ABCA9,1,0,0.166666667,TRUE,0.24137931,1
ABCA10,1,0,0.12,TRUE,0.206896552,1
L3MBTL4,1,0,0.16,TRUE,0.214285714,1
CNTNAP5,1,0,0.125,TRUE,0.266666667,1
SLC7A7,1,0,0.16,TRUE,0.214285714,1
MAGEC1,1,0,0.208333333,TRUE,0.3,1
GRIA1,1,0,0.12,TRUE,0.206896552,1
KAT6B,1,0,0.166666667,TRUE,0.290322581,1
HYDIN,1,0,0.125,TRUE,0.258064516,1
XDH,1,0,0,TRUE,0.21875,1
ESYT3,1,0,0.083333333,TRUE,0.206896552,1
TCHH,1,0,0.25,TRUE,0.285714286,1
KALRN,1,0,0.333333333,TRUE,0.35483871,1
LRP5,1,0,0.166666667,TRUE,0.25,1
USP24,1,0,0.208333333,TRUE,0.214285714,1
WDR64,1,0,0.125,TRUE,0.206896552,1
KIF26B,1,0,0.25,TRUE,0.322580645,1
CNST,1,0,0.192307692,TRUE,0.225806452,1
DISC1,1,0,0.125,TRUE,0.214285714,1
XIRP2,1,0,0.375,TRUE,0.387096774,1
SMARCAD1,1,0,0.208333333,TRUE,0.2,1
RPRD2,1,0,0.16,TRUE,0.266666667,1
WDFY3,1,0,0.125,TRUE,0.206896552,1
PLXNB1,1,0,0.041666667,TRUE,0.2,1
BSN,1,0,0.041666667,TRUE,0.2,1
MST1R,1,0,0.083333333,TRUE,0.233333333,1
NIPBL,1,0,0.041666667,TRUE,0.2,1
PRDM9,1,0,0.041666667,TRUE,0.225806452,1
KIAA1324L,1,0,0.083333333,TRUE,0.206896552,1
INTS1,1,0,0.083333333,TRUE,0.206896552,1
FREM1,1,0,0.166666667,TRUE,0.214285714,1
SLITRK5,1,0,0.125,TRUE,0.24137931,1
DCHS1,1,0,0.2,TRUE,0.371428571,1
TRAPPC9,1,0,0.16,TRUE,0.266666667,1
EVPL,1,0,0.208333333,TRUE,0.25,1
ABCA3,1,0,0.083333333,TRUE,0.206896552,1
MGAT2,1,0,0.041666667,TRUE,0.225806452,1
TNXB,1,0,0.125,TRUE,0.24137931,1
LRP1B,1,0,0.269230769,TRUE,0.459459459,1
ASMTL,1,0,0.2,TRUE,0.24137931,1
MN1,1,0,0.083333333,TRUE,0.2,1
COL22A1,1,0,0.36,TRUE,0.307692308,1
MUC17,1,0,0.208333333,TRUE,0.411764706,1
ZNF318,1,0,0.166666667,TRUE,0.333333333,1
NLRP5,1,0,0.083333333,TRUE,0.206896552,1
PTEN,1,0,0.517241379,TRUE,0.411764706,1
LEMD3,1,0,0.125,TRUE,0.214285714,1
ZNHIT2,1,0,0.12,TRUE,0.206896552,1
CNTNAP2,1,0,0.125,TRUE,0.214285714,1
DENND4A,1,0,0.25,TRUE,0.333333333,1
KIAA1551,1,0,0,TRUE,0.264705882,1
DSG4,1,0,0.125,TRUE,0.214285714,1
RTTN,1,0,0.2,TRUE,0.3125,1
RIMS2,1,0,0.08,TRUE,0.25,1
LRRC37A3,1,0,0.083333333,TRUE,0.258064516,1
ANO6,1,0,0,TRUE,0.21875,1
ZBTB41,1,0,0.041666667,TRUE,0.225806452,1
MAMDC4,1,0,0.125,TRUE,0.206896552,1
RIC8A,1,0,0.125,TRUE,0.214285714,1
IGSF22,1,0,0.083333333,TRUE,0.2,1
DNHD1,1,0,0.041666667,TRUE,0.25,1
ABCA13,1,0,0.32,TRUE,0.512195122,1
TDRD6,1,0,0.16,TRUE,0.206896552,1
F2,1,0,0.083333333,TRUE,0.206896552,1
SCRIB,1,0,0.041666667,TRUE,0.225806452,1
TMEM132C,1,0,0.125,TRUE,0.290322581,1
DDX60L,1,0,0.08,TRUE,0.225806452,1
AATK,1,0,0.083333333,TRUE,0.206896552,1
UBA7,1,0,0.041666667,TRUE,0.2,1
TSHZ2,1,0,0.083333333,TRUE,0.206896552,1
TTC3,1,0,0.083333333,TRUE,0.258064516,1
COL18A1,1,0,0.083333333,TRUE,0.206896552,1
EP400,1,0,0.166666667,TRUE,0.322580645,1
EMILIN3,1,0,0,TRUE,0.21875,1
DDX51,1,0,0.323529412,TRUE,0.384615385,1
BRWD1,1,0,0.166666667,TRUE,0.266666667,1
DNAH14,1,0,0.166666667,TRUE,0.266666667,1
ZNF267,1,0,0.125,TRUE,0.214285714,1
ARHGAP30,1,0,0.041666667,TRUE,0.225806452,1
KRT16,1,0,0.041666667,TRUE,0.333333333,1
MAGI2,1,0,0.166666667,TRUE,0.214285714,1
DNAH17,1,0,0.166666667,TRUE,0.266666667,1
COL14A1,1,0,0.125,TRUE,0.233333333,1
JAKMIP3,1,0,0.083333333,TRUE,0.206896552,1
SLX4,1,0,0.166666667,TRUE,0.214285714,1
ZNF292,1,0,0.083333333,TRUE,0.233333333,1
RELN,1,0,0.208333333,TRUE,0.34375,1
C8orf76,1,0,0.192307692,TRUE,0.233333333,1
RYR1,1,0,0.192307692,TRUE,0.266666667,1
TRRAP,1,0,0.041666667,TRUE,0.2,1
LAMA2,1,0,0.125,TRUE,0.233333333,1
TTC30B,1,0,0.16,TRUE,0.24137931,1
NF1,1,0,0.2,TRUE,0.363636364,1
FLNA,1,0,0.083333333,TRUE,0.25,1
IGF2R,1,0,0.166666667,TRUE,0.214285714,1
CYP2B6,1,0,0.166666667,TRUE,0.3,1
DCHS2,1,0,0.208333333,TRUE,0.214285714,1
SIPA1L1,1,0,0,TRUE,0.21875,1
HELZ,1,0,0.12,TRUE,0.206896552,1
CARD11,1,0,0.166666667,TRUE,0.214285714,1
RYR2,1,0,0.517241379,TRUE,0.484848485,1
LPA,1,0,0.083333333,TRUE,0.206896552,1
ABCA4,1,0,0.25,TRUE,0.310344828,1
CEP290,1,0,0.12,TRUE,0.28125,1
RYR3,1,0,0.333333333,TRUE,0.387096774,1
LTN1,1,0,0.12,TRUE,0.28125,1
INF2,1,0,0.083333333,TRUE,0.206896552,1
PRRC2A,1,0,0.32,TRUE,0.344827586,1
ZNF99,1,0,0.125,TRUE,0.266666667,1
PLXNA4,1,0,0.208333333,TRUE,0.222222222,1
ZNF469,1,0,0.269230769,TRUE,0.290322581,1
PRKDC,1,0,0.08,TRUE,0.294117647,1
MGAM,1,0,0.166666667,TRUE,0.214285714,1
TPTE,1,0,0.041666667,TRUE,0.2,1
