"","pvalues","AMPLIFIED_DELETERIOUS/(AMPLIFIED_DELETERIOUS+AMPLIFIED_WT)","NON_AMPLIFIED_DELETERIOUS/(NON_AMPLIFIED_DELETERIOUS+NON_AMPLIFIED_WT)","tp_flags"
"DENND1C",0.0264006212981806,0,0,"FALSE"
"MYO3A",0.0266512178375442,0,0.0241228070175439,"FALSE"
"KRT19",0.0268924778870486,0,0,"FALSE"
"ZBED5",0.0276481193987623,0,0.0790697674418605,"FALSE"
"CNTN1",0.0288838052027388,0,0,"FALSE"
"SLC25A24",0.0290483545258818,0,0.0277777777777778,"FALSE"
"PPP1R12B",0.0296896047335961,0,0,"FALSE"
"IGF2R",0.0302795751347122,0,0.020066889632107,"FALSE"
"DDX11",0.0307855707576779,0,0.0119565217391304,"FALSE"
"MYO5B",0.0319432145451519,0,0.00321888412017167,"FALSE"
"KRT16",0.0323635997792904,0,0.0122494432071269,"FALSE"
"RUSC1",0.0344674931087919,0,0.00109289617486339,"FALSE"
"KRT15",0.0365990566115766,0,0,"FALSE"
"HAS1",0.0368332316963805,0,0,"FALSE"
"IQGAP2",0.036900815099824,0,0,"FALSE"
"NETO2",0.0369584975854188,0,0,"FALSE"
"RPL5",0.0376070059515017,0,0.00429184549356223,"FALSE"
"ZSCAN4",0.0379112306961811,0,0.00217627856365615,"FALSE"
"TMEM64",0.0379511929848413,0,0.0021978021978022,"FALSE"
"FSCN2",0.0379511929848413,0,0,"FALSE"
"ZNF837",0.038602242827595,0,0.0227272727272727,"FALSE"
"TRPV3",0.038768510195392,0,0,"FALSE"
"VPS13C",0.038794459156446,0,0.00674157303370787,"FALSE"
"NENF",0.0392929365645512,0,0.0152173913043478,"FALSE"
"CXCL5",0.0394151931245678,0,0,"FALSE"
"BSND",0.0394561145318436,0,0.0109051254089422,"FALSE"
"KPNA1",0.0396620026410212,0,0.00218818380743982,"FALSE"
"FAM78A",0.0398282665231818,0,0,"FALSE"
"ACAA2",0.0398700505059583,0,0,"FALSE"
"TMEM150B",0.0398700505059583,0,0,"FALSE"
"IPP",0.0398700505059583,0.05,0.0363036303630363,"FALSE"
"ZDHHC23",0.039941363896328,0,0.0113507377979569,"FALSE"
"SMAD9",0.0401226069682082,0.05,0.00745473908413206,"FALSE"
"CD1A",0.0402075049133873,0,0,"FALSE"
"NEU2",0.0403783831129018,0,0,"FALSE"
"SLC25A46",0.0405074978657066,0,0.00776053215077605,"FALSE"
"PRKCE",0.0405940340306756,0,0.0065359477124183,"FALSE"
"SCG2",0.040943907486825,0,0,"FALSE"
"CHD7",0.0411311451482455,0,0.00879120879120879,"FALSE"
"IER3IP1",0.0412539103232534,0,0,"FALSE"
"EMC6",0.0412964966551361,0,0.00746268656716418,"FALSE"
"CNTN3",0.041319277105083,0,0,"FALSE"
"IL36RN",0.0413391709914638,0.05,0.0132013201320132,"FALSE"
"CNIH2",0.0413391709914638,0,0.00107411385606874,"FALSE"
"TMEM95",0.0413391709914638,0,0.0131578947368421,"FALSE"
"HAUS2",0.0414247847707507,0,0.00436681222707424,"FALSE"
"VPS28",0.0414247847707507,0,0.0184381778741865,"FALSE"
"INSL4",0.0415107538590482,0,0.00425079702444208,"FALSE"
"TMEM243",0.0415107538590482,0,0,"FALSE"
"FITM1",0.0415107538590482,0,0.0113250283125708,"FALSE"
"LCN1",0.0415107538590482,0,0,"FALSE"
"CD164L2",0.0415107538590482,0,0.0121546961325967,"FALSE"
"TMEM179B",0.0415107538590482,0,0.0142543859649123,"FALSE"
"CEMP1",0.0415107538590482,0,0,"FALSE"
"SNRNP40",0.0415538723359228,0,0.0208791208791209,"FALSE"
"GEMIN2",0.0415538723359228,0,0.00217391304347826,"FALSE"
"TREH",0.0415538723359228,0,0.00322927879440258,"FALSE"
"TNNI2",0.0415970804725676,0,0.0294117647058824,"FALSE"
"DNAJB9",0.0416403785488959,0,0.00754310344827586,"FALSE"
"LDLRAD2",0.0416403785488959,0,0.0153005464480874,"FALSE"
"MAP1LC3C",0.0416403785488959,0,0.0021505376344086,"FALSE"
"RAB43",0.0417708152326467,0,0.00107758620689655,"FALSE"
"ZNF121",0.0417708152326467,0,0,"FALSE"
"IL2RA",0.0418144758902599,0,0.0155728587319244,"FALSE"
"ARMC10",0.0418144758902599,0,0,"FALSE"
"CCR8",0.0418144758902599,0,0.00757575757575758,"FALSE"
"TULP2",0.0418296172774085,0,0,"FALSE"
"MUC15",0.0418582279047395,0,0,"FALSE"
"DMRT2",0.0419020715630885,0,0,"FALSE"
"CHIT1",0.0419460071535129,0,0.0236220472440945,"FALSE"
"TMUB2",0.0419460071535129,0,0,"FALSE"
"TESK1",0.0419900349654286,0,0,"FALSE"
"MR1",0.0423008364184835,0,0.00425985090521832,"FALSE"
"HIC1",0.0424805115179119,0,0,"FALSE"
"ZKSCAN8",0.0425256690112378,0,0.0021551724137931,"FALSE"
"C12orf4",0.0426045101522146,0,0.00965665236051502,"FALSE"
"KCNA10",0.0426617193021612,0,0.0173410404624277,"FALSE"
"MPEG1",0.042707263030608,0,0,"FALSE"
"KIF6",0.0433289195712561,0,0,"FALSE"
"LONRF1",0.0433521893655506,0,0,"FALSE"
"PRSS3",0.0462305790064028,0,0.00323624595469256,"FALSE"
"PPP1R12A",0.0474421975876315,0,0.00557413600891862,"FALSE"
"SLC38A4",0.0474421975876315,0,0.00430570505920344,"FALSE"
"SULF1",0.0475560370831032,0,0,"FALSE"
"INPP5F",0.049134852940843,0,0,"FALSE"
"MCTP2",0.0506349125964495,0,0,"FALSE"
"ZNF331",0.0530502110305326,0,0,"FALSE"
"PPP1R3A",0.0559299759678174,0,0,"FALSE"
"UNC119B",0.055945240661925,0,0.00217627856365615,"FALSE"
"MAGEC2",0.0565899948504004,0,0.0044004400440044,"FALSE"
"ZBTB32",0.0567088224855712,0,0.00436205016357688,"FALSE"
"ZMYM6",0.057604377497566,0,0.00548245614035088,"FALSE"
"C8orf37",0.0581284762001791,0,0.00327510917030568,"FALSE"
"RPL38",0.058267149910419,0,0,"FALSE"
"RGS8",0.0583864869884776,0.05,0.00547045951859956,"FALSE"
"SGK494",0.0583864869884776,0,0,"FALSE"
"UBXN2A",0.0587474485062163,0,0,"FALSE"
"MUC21",0.0591128996479805,0.05,0.0351075877689694,"FALSE"
"SCGN",0.0594209325675388,0,0.0100334448160535,"FALSE"
"CASP10",0.0596072976387254,0,0.00325379609544469,"FALSE"
"PRC1",0.0596072976387254,0,0.0111234705228031,"FALSE"
"TMEM231",0.0596072976387254,0,0,"FALSE"
"IDH3A",0.0597321916442713,0,0,"FALSE"
"HERC5",0.0598026572101298,0,0,"FALSE"
"ZSCAN12",0.0599835559310253,0,0.0136986301369863,"FALSE"
"HIP1",0.0602612632276851,0,0.00323974082073434,"FALSE"
"ESPN",0.0603645930859754,0,0,"FALSE"
"HBB",0.0612694863081542,0,0,"FALSE"
"KIAA0232",0.0613103267226421,0,0,"FALSE"
"ZP4",0.061431005144233,0,0,"FALSE"
"IFI35",0.0614577046292512,0,0.0328867235079172,"FALSE"
"TP53INP2",0.0614577046292512,0,0.0155728587319244,"FALSE"
"DCAF16",0.0614577046292512,0,0,"FALSE"
"PRDX2",0.0614577046292512,0,0,"FALSE"
"MND1",0.0615207012325798,0,0.00324324324324324,"FALSE"
"DDAH1",0.0615207012325798,0,0.00214362272240086,"FALSE"
"MGARP",0.0615838270766597,0,0,"FALSE"
"MORN5",0.0615838270766597,0,0,"FALSE"
"AGMAT",0.0616470825594883,0,0.00763358778625954,"FALSE"
"GDPD1",0.0616470825594883,0,0,"FALSE"
"PSEN1",0.0618376308450203,0,0.0109529025191676,"FALSE"
"CHMP2B",0.0618376308450203,0,0.0043010752688172,"FALSE"
"MRPL21",0.0618376308450203,0,0,"FALSE"
"TREM1",0.0619014088956502,0,0,"FALSE"
"ARRDC1",0.0619014088956502,0,0.0131004366812227,"FALSE"
"ACADL",0.0619653185997142,0,0.00983606557377049,"FALSE"
"KLK9",0.0619653185997142,0,0,"FALSE"
"AP000350.4",0.0619653185997142,0,0.00327510917030568,"FALSE"
"EMX2",0.0620293603651489,0,0.00212539851222104,"FALSE"
"SLC37A2",0.0621578417203171,0,0,"FALSE"
"ZNF419",0.0622868562585339,0,0.00983606557377049,"FALSE"
"FLVCR2",0.0622868562585339,0.111111111111111,0.0507328072153326,"FALSE"
"TMEM165",0.0622868562585339,0,0.0306242638398115,"FALSE"
"APOL6",0.0622868562585339,0,0,"FALSE"
"ZNF286B",0.0622868562585339,0,0,"FALSE"
"ARHGAP1",0.0623515645092027,0,0.00106723585912487,"FALSE"
"ZKSCAN4",0.0623515645092027,0,0.00535331905781585,"FALSE"
"KATNAL1",0.0624164073045848,0,0.00647249190938511,"FALSE"
"GTF2H3",0.0624164073045848,0,0.00650054171180932,"FALSE"
"USP3",0.0624164073045848,0,0.00214592274678112,"FALSE"
"POU4F1",0.0624164073045848,0,0.00667408231368187,"FALSE"
"BTAF1",0.0625129846253304,0,0,"FALSE"
"PNPLA3",0.0625464982109467,0,0.0108932461873638,"FALSE"
"PRMT1",0.0625464982109467,0,0.00429645542427497,"FALSE"
"HEPHL1",0.0626349568974992,0,0,"FALSE"
"SNX1",0.0626771323580766,0,0.0119176598049837,"FALSE"
"SIL1",0.0627426542110452,0,0.00769230769230769,"FALSE"
"NFS1",0.0627426542110452,0,0.00870511425462459,"FALSE"
"ZYG11B",0.0628083131547044,0,0.00539374325782093,"FALSE"
"TPH2",0.0628741096196116,0,0,"FALSE"
"ASB5",0.0629400440381285,0,0,"FALSE"
"SIM2",0.0630061168444304,0,0.010989010989011,"FALSE"
"GRIK5",0.0636070721005492,0,0,"FALSE"
"C16orf71",0.0638099453248923,0,0.0141304347826087,"FALSE"
"USP35",0.0638744573133904,0,0.00108459869848156,"FALSE"
"AOX1",0.0645079745043081,0,0.0117773019271949,"FALSE"
"VPS8",0.0664837827718324,0,0.00338600451467269,"FALSE"
"ZNF225",0.0672377225889762,0,0.0214205186020293,"FALSE"
"ZNF43",0.0672502834720605,0,0,"FALSE"
"COL17A1",0.0679823443477835,0,0,"FALSE"
"ITGAX",0.0679823443477836,0.05,0.0066079295154185,"FALSE"
"LATS1",0.0682456814172667,0,0.00861141011840689,"FALSE"
"ITPR2",0.0689370134661439,0.181818181818182,0.061139896373057,"FALSE"
"ARID5B",0.0697664418506649,0,0.00323974082073434,"FALSE"
"ARL13B",0.070136877796553,0,0.0117647058823529,"FALSE"
"KIFAP3",0.0701462369267567,0,0.00540540540540541,"FALSE"
"PHF3",0.0705188193899852,0.05,0.00882028665931643,"FALSE"
"DNAH7",0.0724630517731332,0,0.00216216216216216,"FALSE"
"RP1",0.0724792402279816,0,0.00438116100766703,"FALSE"
"SULT1A2",0.073700320801225,0,0,"FALSE"
"IDO2",0.0739272360778882,0,0.0256410256410256,"FALSE"
"SLC4A10",0.0740786438593977,0,0.0077007700770077,"FALSE"
"MKRN2",0.0740792904277051,0,0,"FALSE"
"ISPD",0.0741555522915508,0,0,"FALSE"
"ADH7",0.0745392279092685,0,0,"FALSE"
"FLNC",0.0746094104581133,0,0.0213963963963964,"FALSE"
"RSPO2",0.0746164397207228,0,0,"FALSE"
"USH1G",0.0746938115803501,0,0.00979325353645267,"FALSE"
"SMC3",0.0749724885898796,0,0.00537634408602151,"FALSE"
"DCST1",0.0753186083756837,0.1,0.0717439293598234,"FALSE"
"RBAK",0.0758739388093297,0.05,0.00438116100766703,"FALSE"
"KLHL6",0.0760341111605447,0,0.0130434782608696,"FALSE"
"FIZ1",0.0760341111605447,0.05,0.00754310344827586,"FALSE"
"BCAS1",0.0763564921977891,0,0,"FALSE"
"DIDO1",0.0764929999504995,0,0,"FALSE"
"IPO11",0.0773860578791468,0,0,"FALSE"
"CD53",0.0775132391446024,0,0.00537634408602151,"FALSE"
"TOB1",0.078070327968965,0,0.0119176598049837,"FALSE"
"RTP2",0.078070327968965,0,0.00214132762312634,"FALSE"
"DNAJC3",0.0783922725688304,0,0,"FALSE"
"CYP2A6",0.0783922725688304,0,0.00434782608695652,"FALSE"
"HMMR",0.0785542421048899,0,0,"FALSE"
"MSRA",0.0785542421048899,0,0.00776914539400666,"FALSE"
"FOXJ1",0.0787168819647834,0,0,"FALSE"
"BTBD2",0.0793742285143868,0,0,"FALSE"
"ZBTB16",0.07954028320375,0,0.018161180476731,"FALSE"
"HFM1",0.0797604108287525,0,0,"FALSE"
"HK2",0.0802115045040243,0,0.0273822562979189,"FALSE"
"MAGEA1",0.0802962040926156,0,0.00971922246220302,"FALSE"
"SH2D1B",0.0808876788617977,0,0.00320855614973262,"FALSE"
"NINJ1",0.0809695013777007,0,0.00873362445414847,"FALSE"
"MLF1",0.0809695013777007,0,0.00109529025191676,"FALSE"
"NMU",0.0810514895012919,0,0,"FALSE"
"GTF2IRD2",0.0810514895012919,0.0555555555555556,0.00218102508178844,"FALSE"
"ARHGAP11B",0.0810514895012919,0,0,"FALSE"
"APOOL",0.0811336437355562,0.05,0.00320855614973262,"FALSE"
"GTSF1",0.0811336437355562,0,0,"FALSE"
"TMEM159",0.0812984525582426,0,0,"FALSE"
"CHMP4B",0.0812984525582426,0,0,"FALSE"
"RGS16",0.0812984525582426,0,0.00551267916207277,"FALSE"
"TMEM208",0.0812984525582426,0,0,"FALSE"
"GSTA4",0.0812984525582426,0,0,"FALSE"
"TEFM",0.0812984525582426,0,0.00325027085590466,"FALSE"
"RDH11",0.0813811081628639,0.0526315789473684,0.0140845070422535,"FALSE"
"TMBIM1",0.0813811081628639,0,0.00225479143179256,"FALSE"
"TRMT2B",0.0813811081628639,0,0,"FALSE"
"TPRKB",0.0814639319105785,0,0,"FALSE"
"SLC35D3",0.0814639319105785,0,0,"FALSE"
"GRXCR2",0.0814639319105785,0,0,"FALSE"
"C10orf55",0.0814639319105785,0,0,"FALSE"
"GNAI3",0.0815469243146627,0,0.00429184549356223,"FALSE"
"NDUFAF4",0.0815469243146627,0,0,"FALSE"
"C12orf45",0.0815469243146627,0,0,"FALSE"
"ETHE1",0.081630085890484,0,0,"FALSE"
"ANKRD49",0.081630085890484,0,0,"FALSE"
"IFNA2",0.081630085890484,0,0.00328947368421053,"FALSE"
"PRR13",0.081630085890484,0,0,"FALSE"
"GUK1",0.0817134171555097,0,0.00433839479392625,"FALSE"
"INPP4B",0.0818772308705752,0,0.0100896860986547,"FALSE"
"TSPAN5",0.0818805908336114,0,0,"FALSE"
"ZNF138",0.0818805908336114,0,0.00216216216216216,"FALSE"
"ILKAP",0.0819644342922217,0,0,"FALSE"
"SCCPDH",0.0819644342922217,0,0,"FALSE"
"BSDC1",0.0819644342922217,0,0.0187431091510474,"FALSE"
"AADAC",0.0820484495311268,0,0,"FALSE"
"PURG",0.0820484495311268,0,0.00322927879440258,"FALSE"
"CD180",0.0821326370784591,0,0.00324324324324324,"FALSE"
"CXADR",0.0821326370784591,0.1,0.0123180291153415,"FALSE"
"SHE",0.0821326370784591,0,0,"FALSE"
"PEX7",0.0822169974645161,0,0,"FALSE"
"DRGX",0.0822169974645161,0,0.011037527593819,"FALSE"
"GIMAP7",0.0822169974645161,0,0.0021953896816685,"FALSE"
"VCAN",0.0822369560220271,0,0,"FALSE"
"CDC23",0.0823015312217728,0,0.0229508196721311,"FALSE"
"IQCG",0.0823015312217728,0,0.00108459869848156,"FALSE"
"KIAA1191",0.0823862388848919,0,0.0289532293986637,"FALSE"
"PWP1",0.0823862388848919,0,0,"FALSE"
"ULK3",0.0823862388848919,0,0,"FALSE"
"SLC43A1",0.0823862388848919,0,0.00215749730312837,"FALSE"
"SCAI",0.0823862388848919,0,0.0153005464480874,"FALSE"
"RABGEF1",0.0824711209907352,0,0.00878155872667398,"FALSE"
"DKK2",0.0824711209907352,0,0,"FALSE"
"RFPL1",0.08272681936646,0,0.0114678899082569,"FALSE"
"HMGCS2",0.08272681936646,0,0,"FALSE"
"POU2F3",0.0828124046562048,0,0.0141150922909881,"FALSE"
"FOXF1",0.082898167106372,0,0.00647948164146868,"FALSE"
"CYP2F1",0.082898167106372,0,0.00328947368421053,"FALSE"
"RARS",0.0831565229337975,0,0.00431499460625674,"FALSE"
"APCDD1",0.0831565229337975,0,0,"FALSE"
"PSTPIP1",0.0832429995514908,0,0,"FALSE"
"SLC2A13",0.0833296561040135,0,0.0539647577092511,"FALSE"
"UNC93B1",0.0834164931531821,0,0,"FALSE"
"L3MBTL3",0.0837206114195756,0,0,"FALSE"
"DCC",0.0837814437578309,0,0,"FALSE"
"ITGB1",0.0838534056767535,0,0.00757575757575758,"FALSE"
"DYSF",0.0862489887697927,0,0.001085776330076,"FALSE"
"LMAN1",0.0873009925754069,0,0.0129449838187702,"FALSE"
"UHRF1BP1L",0.0898178420102268,0,0,"FALSE"
"ARMC5",0.0902679481568545,0,0,"FALSE"
"SEC16A",0.0906874949564035,0,0.0053475935828877,"FALSE"
"ZMYM4",0.0909162144285331,0,0,"FALSE"
"CFHR5",0.0910779637671627,0,0.00644468313641246,"FALSE"
"GBP3",0.0920534318831889,0,0.00431499460625674,"FALSE"
"KRAS",0.0926179383588936,0,0.0043525571273123,"FALSE"
"SLC9C1",0.0926335009170457,0.05,0.00760869565217391,"FALSE"
"ZNF397",0.0928123016063355,0.142857142857143,0.0304054054054054,"FALSE"
"WAC",0.0933897092921259,0,0,"FALSE"
"ADCK5",0.0938763945468104,0,0.00861141011840689,"FALSE"
"SIPA1L2",0.0939000494033247,0.05,0.0107758620689655,"FALSE"
"SNX18",0.0943681747403788,0,0,"FALSE"
"PFN4",0.0955003654525294,0,0,"FALSE"
"ANKRD36",0.095642675847505,0,0,"FALSE"
"METTL7A",0.0956926037989798,0,0.00868621064060804,"FALSE"
"ANXA1",0.0958856169813451,0,0,"FALSE"
"IL19",0.0958856169813451,0,0.00429184549356223,"FALSE"
"IL13RA1",0.0961765998415323,0,0,"FALSE"
"DPM1",0.0964693526318061,0,0,"FALSE"
"PNLIPRP3",0.0965673330044344,0,0.00773480662983425,"FALSE"
"JAKMIP2",0.0965880322009548,0,0.00327510917030568,"FALSE"
"LDHAL6B",0.0966655124366822,0,0,"FALSE"
"DNAJB5",0.0967638915352318,0,0,"FALSE"
"HEXIM1",0.0967638915352318,0,0.00535905680600214,"FALSE"
"HCFC1",0.0967710222296813,0,0.0169109357384442,"FALSE"
"HTRA4",0.0969612511703069,0,0.00655737704918033,"FALSE"
"CEP55",0.0973583934053255,0,0,"FALSE"
"CUL5",0.0973896384120525,0,0,"FALSE"
"ZSCAN32",0.0974581873637867,0,0,"FALSE"
"MX1",0.0977587994165517,0,0.00570776255707763,"FALSE"
"TUBA3C",0.0978594155996472,0.05,0.00537634408602151,"FALSE"
"RARA",0.0979602389251785,0,0,"FALSE"
"CCNF",0.0993938785431514,0,0.00324324324324324,"FALSE"
"NFATC1",0.0996864241046173,0,0,"FALSE"
"ANKS1A",0.0998112224136128,0,0,"FALSE"
"LRFN3",0.100021210169578,0,0,"FALSE"
"BCL2A1",0.100115970098999,0,0.00109051254089422,"FALSE"
"UBE2L6",0.100417302838693,0,0.00995575221238938,"FALSE"
"ABCA1",0.100433085962853,0,0,"FALSE"
"ARR3",0.100720453254172,0,0,"FALSE"
"RCN2",0.100821910163253,0,0,"FALSE"
"MMACHC",0.100821910163253,0,0.0068259385665529,"FALSE"
"C10orf82",0.100821910163253,0,0,"FALSE"
"BCL2L15",0.100821910163253,0,0.0174482006543075,"FALSE"
"MYCBP",0.100821910163253,0,0,"FALSE"
"NFKBIA",0.10092357148102,0,0,"FALSE"
"TRMT10A",0.101025437825215,0,0,"FALSE"
"POLR1D",0.101025437825215,0,0.0124153498871332,"FALSE"
"TMEM106B",0.101229788076317,0,0.0165016501650165,"FALSE"
"TMOD2",0.101229788076317,0,0.0065359477124183,"FALSE"
"TMEM232",0.101434965908505,0,0.0121012101210121,"FALSE"
"DCUN1D4",0.101537866738534,0,0.00647948164146868,"FALSE"
"CCDC70",0.101537866738534,0.05,0.0174291938997821,"FALSE"
"CNR2",0.101537866738534,0,0.00863930885529158,"FALSE"
"NLRP1",0.101614107963365,0,0.00768386388583974,"FALSE"
"DNAJB6",0.101640976354156,0,0.0233333333333333,"FALSE"
"DCTN4",0.101744295390803,0,0.00323624595469256,"FALSE"
"TRAIP",0.101744295390803,0,0,"FALSE"
"PPM1L",0.101847824486485,0,0.00871459694989107,"FALSE"
"ZNF12",0.101847824486485,0,0,"FALSE"
"MFF",0.101847824486485,0,0.00429184549356223,"FALSE"
"FOXR1",0.101951564281802,0,0,"FALSE"
"CNGA2",0.101951564281802,0,0.00539374325782093,"FALSE"
"KRT35",0.101951564281802,0,0,"FALSE"
"RNF139",0.102055515419962,0,0.0167410714285714,"FALSE"
"TCFL5",0.102264054310731,0,0.00217627856365615,"FALSE"
"MORF4L1",0.102368643362896,0,0,"FALSE"
"KLHL18",0.102473446357036,0,0.00745473908413206,"FALSE"
"SLC2A2",0.102473446357036,0,0.0221483942414175,"FALSE"
"RASGRP1",0.102473446357036,0,0,"FALSE"
"LMNB2",0.102789145569048,0,0.0207197382769902,"FALSE"
"APBA3",0.102894810922306,0,0,"FALSE"
"RNPEPL1",0.102894810922306,0,0.00538793103448276,"FALSE"
