"","pvalues","AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT)","NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"DNAH10",1,0,0.24,"(NA,6,1,19)","TRUE","6/26 (0.230769230769231)",1
"DMD",1,0,0.24,"(NA,6,1,19)","TRUE","10/30 (0.333333333333333)",1
"ZBTB48",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","3/28 (0.107142857142857)",1
"FMN1",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","4/27 (0.148148148148148)",1
"CFH",1,0,0.269230769230769,"(NA,7,1,19)","TRUE","5/27 (0.185185185185185)",1
"KRIT1",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","4/28 (0.142857142857143)",1
"AOC1",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"TMEM176A",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","4/28 (0.142857142857143)",1
"ARHGAP33",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/26 (0.115384615384615)",1
"ABCB5",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"UPF1",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/27 (0.111111111111111)",1
"GCFC2",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/26 (0.115384615384615)",1
"ABCB4",1,0,0,"(NA,NA,1,24)","TRUE","4/29 (0.137931034482759)",1
"KMT2E",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"IBTK",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/26 (0.115384615384615)",1
"ITGAL",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","5/29 (0.172413793103448)",1
"ITGA3",1,0,0.125,"(NA,3,1,21)","TRUE","4/26 (0.153846153846154)",1
"ITGA2B",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"ETV1",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"USH1C",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"DBF4",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","4/28 (0.142857142857143)",1
"GTF2IRD1",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","5/26 (0.192307692307692)",1
"SCIN",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","6/28 (0.214285714285714)",1
"CDKL3",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/27 (0.111111111111111)",1
"KIAA0100",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","7/30 (0.233333333333333)",1
"RHBDF1",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"DLEC1",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","4/27 (0.148148148148148)",1
"AASS",1,0,0.125,"(NA,3,1,21)","TRUE","3/26 (0.115384615384615)",1
"MMP25",1,0,0,"(NA,NA,1,24)","TRUE","4/29 (0.137931034482759)",1
"UBE3C",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"REV3L",1,0,0.08,"(NA,2,1,23)","TRUE","6/30 (0.2)",1
"TENM1",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","6/30 (0.2)",1
"TRAF3IP3",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/27 (0.111111111111111)",1
"METTL13",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/26 (0.115384615384615)",1
"ZNF200",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","5/29 (0.172413793103448)",1
"BTK",1,0,0.125,"(NA,3,1,21)","TRUE","4/27 (0.148148148148148)",1
"RNF216",1,0,0,"(NA,NA,1,24)","TRUE","6/31 (0.193548387096774)",1
"LARS2",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","5/28 (0.178571428571429)",1
"RABGAP1",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"CEP68",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"MAMLD1",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"CCDC88C",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"ZMYND11",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"WWTR1",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/26 (0.115384615384615)",1
"TTC27",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"ZFP64",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","4/28 (0.142857142857143)",1
"PHF20",1,0,0.125,"(NA,3,1,21)","TRUE","8/31 (0.258064516129032)",1
"INSRR",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","4/26 (0.153846153846154)",1
"BRD9",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"BCLAF1",1,0,0.125,"(NA,3,1,21)","TRUE","5/28 (0.178571428571429)",1
"LRRC7",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","5/29 (0.172413793103448)",1
"MAP2K3",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"RFC1",1,0,0.125,"(NA,3,1,21)","TRUE","4/26 (0.153846153846154)",1
"MYOM2",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"TUBG2",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","3/25 (0.12)",1
"MRI1",1,0,0,"(NA,NA,1,24)","TRUE","4/29 (0.137931034482759)",1
"AGA",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"VCAN",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","4/28 (0.142857142857143)",1
"MSR1",1,0,0.125,"(NA,3,1,21)","TRUE","3/25 (0.12)",1
"CDH1",1,0,0.208333333333333,"(NA,5,1,19)","TRUE","8/29 (0.275862068965517)",1
"DNAH5",1,0,0.12,"(NA,3,1,22)","TRUE","9/32 (0.28125)",1
"ZFYVE16",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","4/25 (0.16)",1
"RAI14",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"CDH10",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/26 (0.115384615384615)",1
"MYO16",1,0,0.125,"(NA,3,1,21)","TRUE","4/27 (0.148148148148148)",1
"USH2A",1,0,0.307692307692308,"(NA,8,1,18)","TRUE","15/37 (0.405405405405405)",1
"CTNNA1",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/26 (0.115384615384615)",1
"CNTLN",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","4/28 (0.142857142857143)",1
"POLR2B",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","4/28 (0.142857142857143)",1
"TPR",1,0,0.25,"(NA,6,1,18)","TRUE","9/29 (0.310344827586207)",1
"KIAA0556",1,0,0.125,"(NA,3,1,21)","TRUE","4/26 (0.153846153846154)",1
"USP28",1,0,0.125,"(NA,3,1,21)","TRUE","3/26 (0.115384615384615)",1
"RSF1",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","5/26 (0.192307692307692)",1
"VPS13D",1,0,0.125,"(NA,3,1,21)","TRUE","3/26 (0.115384615384615)",1
"LTBP1",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","4/26 (0.153846153846154)",1
"ARID1B",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","5/29 (0.172413793103448)",1
"ARHGEF5",1,0,0.208333333333333,"(NA,5,1,19)","TRUE","8/29 (0.275862068965517)",1
"NFE2L3",1,0,0.12,"(NA,3,1,22)","TRUE","4/27 (0.148148148148148)",1
"LAMC3",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","4/28 (0.142857142857143)",1
"POLQ",1,0,0.16,"(NA,4,1,21)","TRUE","6/28 (0.214285714285714)",1
"RRP12",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/27 (0.111111111111111)",1
"TTC17",1,0,0,"(NA,NA,1,24)","TRUE","4/29 (0.137931034482759)",1
"METTL24",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/26 (0.115384615384615)",1
"ENTPD2",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"ARID4B",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","5/27 (0.185185185185185)",1
"CYFIP2",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","3/25 (0.12)",1
"KMT2C",1,0,0.333333333333333,"(NA,8,1,16)","TRUE","16/34 (0.470588235294118)",1
"PUM2",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","5/28 (0.178571428571429)",1
"TRAF3IP2",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"PRDM1",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"MTA3",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"LAMC2",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","6/28 (0.214285714285714)",1
"RASGRF1",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"ZC3H11A",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","4/28 (0.142857142857143)",1
"PSD",1,0,0,"(NA,NA,1,24)","TRUE","5/30 (0.166666666666667)",1
"CCAR1",1,0,0.125,"(NA,3,1,21)","TRUE","4/27 (0.148148148148148)",1
"COL11A1",1,0,0.125,"(NA,3,1,21)","TRUE","7/30 (0.233333333333333)",1
"QSER1",1,0,0,"(NA,NA,1,24)","TRUE","4/29 (0.137931034482759)",1
"POLD1",1,0,0.12,"(NA,3,1,22)","TRUE","4/27 (0.148148148148148)",1
"AHRR",1,0,0.12,"(NA,3,1,22)","TRUE","7/30 (0.233333333333333)",1
"HIPK2",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"TMEM161A",1,0,0.115384615384615,"(NA,3,1,23)","TRUE","3/27 (0.111111111111111)",1
"ABCA7",1,0,0.192307692307692,"(NA,5,1,21)","TRUE","7/31 (0.225806451612903)",1
"DDX20",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"ANKS1A",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"GNAI3",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"MAP2K4",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","4/26 (0.153846153846154)",1
"TMEM206",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/27 (0.111111111111111)",1
"CYB5R4",1,0,0.125,"(NA,3,1,21)","TRUE","4/26 (0.153846153846154)",1
"COL17A1",1,0,0.125,"(NA,3,1,21)","TRUE","5/28 (0.178571428571429)",1
"CTNNA2",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","4/27 (0.148148148148148)",1
"NFYC",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"ISOC1",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"KIF26A",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","9/32 (0.28125)",1
"ARFGEF1",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"ZFAT",1,0,0,"(NA,NA,1,24)","TRUE","4/29 (0.137931034482759)",1
"MYO9A",1,0,0.12,"(NA,3,1,22)","TRUE","8/31 (0.258064516129032)",1
"PFKP",1,0,0.125,"(NA,3,1,21)","TRUE","4/27 (0.148148148148148)",1
"TRAM1",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"EVI5",1,0,0.08,"(NA,2,1,23)","TRUE","4/28 (0.142857142857143)",1
"TP53BP1",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","6/29 (0.206896551724138)",1
"RHOA",1,0,0.125,"(NA,3,1,21)","TRUE","4/27 (0.148148148148148)",1
"TBC1D25",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"POLR1A",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"TTC7A",1,0,0.125,"(NA,3,1,21)","TRUE","6/28 (0.214285714285714)",1
"RASGRP2",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"PYGM",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","4/28 (0.142857142857143)",1
"SDK2",1,0,0,"(NA,NA,1,24)","TRUE","4/29 (0.137931034482759)",1
"GUCY2C",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/26 (0.115384615384615)",1
"TCOF1",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"LMCD1",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"HLTF",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"ZFYVE26",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","4/27 (0.148148148148148)",1
"TRPC5",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","5/28 (0.178571428571429)",1
"RHOBTB1",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"SMC1A",1,0,0,"(NA,NA,1,24)","TRUE","5/30 (0.166666666666667)",1
"EVC",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","3/26 (0.115384615384615)",1
"MRVI1",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"MCM2",1,0,0,"(NA,NA,1,24)","TRUE","4/29 (0.137931034482759)",1
"LLGL2",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"ABCB11",1,0,0.125,"(NA,3,1,21)","TRUE","3/26 (0.115384615384615)",1
"DHRS9",1,0,0.08,"(NA,2,1,23)","TRUE","3/27 (0.111111111111111)",1
"MAP3K13",1,0,0.0833333333333333,"(NA,2,1,22)","TRUE","5/28 (0.178571428571429)",1
"FRY",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","5/29 (0.172413793103448)",1
"GLI2",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","4/28 (0.142857142857143)",1
"CDHR2",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"BCS1L",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"DPP8",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"ZNF532",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"SEMA3A",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"GRAMD4",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
"CELSR1",1,0,0.166666666666667,"(NA,4,1,20)","TRUE","7/29 (0.241379310344828)",1
"RASAL2",1,0,0,"(NA,NA,1,24)","TRUE","3/28 (0.107142857142857)",1
"VPS9D1",1,0,0.0416666666666667,"(NA,1,1,23)","TRUE","3/27 (0.111111111111111)",1
