"","pvalues","AMPLIFIED_DELETERIOUS/(AMPLIFIED_DELETERIOUS+AMPLIFIED_WT)","NON_AMPLIFIED_DELETERIOUS/(NON_AMPLIFIED_DELETERIOUS+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"HFM1",0.127829653796422,0.08,0.0235955056179775,"(2,21,23,869)","TRUE","110/1034 (0.106382978723404)",1
"PHF3",0.128752717810355,0.148148148148148,0.0709382151029748,"(4,62,23,812)","TRUE","191/1094 (0.174588665447898)",1
"DIDO1",0.128885241374962,0.0869565217391304,0.0257985257985258,"(2,21,21,793)","TRUE","257/1137 (0.226033421284081)",1
"ITPR2",0.132269338383129,0.12,0.0493537015276146,"(3,42,22,809)","TRUE","225/1130 (0.199115044247788)",1
"UBN2",0.132680485271619,0.12,0.0494938132733408,"(3,44,22,845)","TRUE","132/1038 (0.127167630057803)",1
"SIPA1L2",0.137067279142278,0.08,0.0246478873239437,"(2,21,23,831)","TRUE","171/1079 (0.158480074142725)",1
"UHRF1BP1L",0.137603040018116,0.0740740740740741,0.0228050171037628,"(2,20,25,857)","TRUE","130/1054 (0.123339658444023)",1
"ANKRD30A",0.137838230022813,0.08,0.0247349823321555,"(2,21,23,828)","TRUE","200/1096 (0.182481751824818)",1
"RP1",0.1384610758246,0.12,0.0504201680672269,"(3,42,22,791)","TRUE","264/1159 (0.227782571182054)",1
"ADCY1",0.139814703874774,0.0454545454545455,0.00576036866359447,"(1,5,21,863)","TRUE","119/1029 (0.115646258503401)",1
"ZMYM4",0.144629329919069,0.08,0.0256124721603563,"(2,23,23,875)","TRUE","123/1059 (0.11614730878187)",1
"VCAN",0.145764144927367,0.130434782608696,0.0563725490196078,"(3,46,20,770)","TRUE","295/1166 (0.253001715265866)",1
"SLC9C1",0.14720685340265,0.08,0.0259009009009009,"(2,23,23,865)","TRUE","112/1034 (0.108317214700193)",1
"SEC16A",0.147536891058627,0.0833333333333333,0.027027027027027,"(2,23,22,828)","TRUE","207/1107 (0.186991869918699)",1
"ABCA1",0.151522673528601,0.0869565217391304,0.0288018433179724,"(2,25,21,843)","TRUE","164/1077 (0.152274837511606)",1
"HCFC1",0.153398421595148,0.08,0.0265895953757225,"(2,23,23,842)","TRUE","137/1052 (0.130228136882129)",1
"DYSF",0.153767977780117,0.111111111111111,0.0490081680280047,"(3,42,24,815)","TRUE","232/1134 (0.204585537918871)",1
"RIMS2",0.156185219018568,0,0.0997624703087886,"(NA,84,22,758)","TRUE","304/1175 (0.258723404255319)",1
"NLRP1",0.157433874298582,0.0769230769230769,0.0259887005649717,"(2,23,24,862)","TRUE","114/1033 (0.110358180058083)",1
"TTF1",0.157654840514261,0,0.0923913043478261,"(NA,85,25,835)","TRUE","133/1040 (0.127884615384615)",1
"NFATC1",0.15771122364385,0.08,0.0271186440677966,"(2,24,23,861)","TRUE","113/1030 (0.109708737864078)",1
"KIAA2026",0.164951676232519,0,0.103409090909091,"(NA,91,25,789)","TRUE","216/1090 (0.198165137614679)",1
"KANSL1L",0.166823182295517,0.115384615384615,0.053156146179402,"(3,48,23,855)","TRUE","111/1027 (0.108081791626095)",1
"RYR2",0.168018821583895,0.25,0.129032258064516,"(5,96,15,648)","TRUE","715/1536 (0.465494791666667)",1
"MYO1D",0.168540323792329,0.0769230769230769,0.0272108843537415,"(2,24,24,858)","TRUE","105/1015 (0.103448275862069)",1
"MUC12",0.17046954245176,0.0434782608695652,0.00703399765533412,"(1,6,22,847)","TRUE","154/1061 (0.145146088595664)",1
"KIF26A",0.172105938643144,0.0869565217391304,0.0313588850174216,"(2,27,21,834)","TRUE","182/1092 (0.166666666666667)",1
"RADIL",0.172204233189901,0.0416666666666667,0.00681818181818182,"(1,6,23,874)","TRUE","111/1034 (0.107350096711799)",1
"ANKRD36",0.173051688662139,0.115384615384615,0.0541149943630214,"(3,48,23,839)","TRUE","138/1035 (0.133333333333333)",1
"C7",0.174186966093378,0.08,0.0290178571428571,"(2,26,23,870)","TRUE","115/1041 (0.110470701248799)",1
"SBNO2",0.180072675844744,0.04,0.00688073394495413,"(1,6,24,866)","TRUE","128/1049 (0.122020972354623)",1
"MED12L",0.186253958126628,0.0769230769230769,0.0291036088474971,"(2,25,24,834)","TRUE","174/1074 (0.162011173184358)",1
"COL19A1",0.19213312161678,0.08,0.0309988518943743,"(2,27,23,844)","TRUE","148/1048 (0.141221374045802)",1
"KAT6B",0.194044399113209,0.0769230769230769,0.0299539170506912,"(2,26,24,842)","TRUE","177/1093 (0.161939615736505)",1
"RGS22",0.196500212945961,0.0740740740740741,0.029082774049217,"(2,26,25,868)","TRUE","133/1053 (0.12630579297246)",1
"PLXNC1",0.201380749661678,0.0769230769230769,0.030751708428246,"(2,27,24,851)","TRUE","120/1037 (0.115718418514947)",1
"IGSF10",0.201767810033392,0.08,0.0320284697508897,"(2,27,23,816)","TRUE","215/1117 (0.192479856759176)",1
"LMTK2",0.203722373463873,0.04,0.00805523590333717,"(1,7,24,862)","TRUE","122/1044 (0.116858237547893)",1
"CNOT1",0.203865159906754,0.08,0.0322952710495963,"(2,28,23,839)","TRUE","151/1061 (0.142318567389255)",1
"ZNF99",0.209094030273671,0.0434782608695652,0.00914285714285714,"(1,8,22,867)","TRUE","132/1051 (0.125594671741199)",1
"MGAM",0.214999352826479,0.0769230769230769,0.0321428571428571,"(2,27,24,813)","TRUE","246/1137 (0.216358839050132)",1
"KANK4",0.219203268813643,0.0416666666666667,0.0092485549132948,"(1,8,23,857)","TRUE","105/1017 (0.103244837758112)",1
"FRY",0.222044927584177,0.0769230769230769,0.0329024676850764,"(2,28,24,823)","TRUE","186/1095 (0.16986301369863)",1
"MYC",0.222191315308239,0.04,0.00901916572717024,"(1,8,24,879)","TRUE","143/1100 (0.13)",1
"IQCA1",0.227345741753159,0.0769230769230769,0.0335195530726257,"(2,30,24,865)","TRUE","103/1025 (0.100487804878049)",1
"WDR62",0.22824453850021,0.04,0.00930232558139535,"(1,8,24,852)","TRUE","112/1026 (0.10916179337232)",1
"CUX1",0.228483029838741,0.0869565217391304,0.038150289017341,"(2,33,21,832)","TRUE","197/1091 (0.180568285976169)",1
"KIAA1109",0.22890280910107,0.217391304347826,0.134883720930233,"(5,116,18,744)","TRUE","373/1239 (0.301049233252623)",1
"ZZEF1",0.229706886840514,0.0769230769230769,0.0337209302325581,"(2,29,24,831)","TRUE","173/1079 (0.160333642261353)",1
"ZNF451",0.23239550401603,0.0740740740740741,0.0327313769751693,"(2,29,25,857)","TRUE","101/1009 (0.10009910802775)",1
"TP53BP1",0.234126670957213,0.0769230769230769,0.0342075256556442,"(2,30,24,847)","TRUE","141/1049 (0.13441372735939)",1
"PTEN",0.234381362875725,0.0434782608695652,0.154435925520263,"(1,141,22,772)","TRUE","271/1150 (0.235652173913043)",1
"INTS1",0.238305179766826,0.0434782608695652,0.0107398568019093,"(1,9,22,829)","TRUE","191/1084 (0.17619926199262)",1
"ITGAE",0.242410161724293,0.0740740740740741,0.0337457817772778,"(2,30,25,859)","TRUE","110/1032 (0.106589147286822)",1
"DDX60L",0.243434039988043,0.08,0.0366666666666667,"(2,33,23,867)","TRUE","138/1058 (0.130434782608696)",1
"NELL2",0.245389136809342,0.04,0.0102272727272727,"(1,9,24,871)","TRUE","104/1024 (0.1015625)",1
"CHD9",0.246223921902038,0,0.0893470790378007,"(NA,78,21,795)","TRUE","244/1133 (0.215357458075905)",1
"ZNF516",0.246350043722201,0.04,0.0102739726027397,"(1,9,24,867)","TRUE","133/1065 (0.124882629107981)",1
"POLQ",0.246779172372116,0.08,0.0369487485101311,"(2,31,23,808)","TRUE","205/1093 (0.187557182067704)",1
"HEPH",0.247075639203613,0.04,0.0103092783505155,"(1,9,24,864)","TRUE","114/1033 (0.110358180058083)",1
"LAMA5",0.247184466104892,0,0.0883435582822086,"(NA,72,22,743)","TRUE","352/1215 (0.289711934156379)",1
"MYCBP2",0.247839928371236,0,0.0795321637426901,"(NA,68,23,787)","TRUE","317/1226 (0.258564437194127)",1
"INVS",0.248596550923939,0,0.0767519466073415,"(NA,69,24,830)","TRUE","141/1034 (0.136363636363636)",1
"DMXL1",0.24897157397115,0,0.0813953488372093,"(NA,70,24,790)","TRUE","215/1094 (0.196526508226691)",1
"VPS13A",0.249102829330543,0,0.0771001150747986,"(NA,67,25,802)","TRUE","230/1113 (0.206648697214735)",1
"FAM47C",0.249511353907244,0.0434782608695652,0.0114285714285714,"(1,10,22,865)","TRUE","120/1039 (0.115495668912416)",1
"ZFHX3",0.249622999591875,0,0.0970414201183432,"(NA,82,21,763)","TRUE","375/1277 (0.293657008613939)",1
"VPS13B",0.250447152142751,0,0.0839328537170264,"(NA,70,24,764)","TRUE","322/1201 (0.268109908409659)",1
"MYH9",0.250567512989726,0.08,0.0373831775700935,"(2,32,23,824)","TRUE","198/1102 (0.17967332123412)",1
"TRIP12",0.251778540705615,0,0.084841628959276,"(NA,75,24,809)","TRUE","163/1047 (0.155682903533906)",1
"TEP1",0.252237236634764,0.08,0.0375586854460094,"(2,32,23,820)","TRUE","169/1059 (0.159584513692162)",1
"KANK1",0.252980219135375,0.0434782608695652,0.0116144018583043,"(1,10,22,851)","TRUE","114/1021 (0.111655239960823)",1
"GCC2",0.254352723041417,0.0833333333333333,0.0394588500563698,"(2,35,22,852)","TRUE","125/1035 (0.120772946859903)",1
"DNAH7",0.262492008038293,0.16,0.083743842364532,"(4,68,21,744)","TRUE","400/1269 (0.315208825847124)",1
"SLC8A1",0.264479635175973,0.0454545454545455,0.0128805620608899,"(1,11,21,843)","TRUE","132/1032 (0.127906976744186)",1
"AHDC1",0.264801285060969,0.08,0.0389461626575029,"(2,34,23,839)","TRUE","169/1074 (0.157355679702048)",1
"PRDM2",0.267373075887209,0.0869565217391304,0.0427251732101617,"(2,37,21,829)","TRUE","161/1056 (0.152462121212121)",1
"DOCK5",0.278304907564013,0.0769230769230769,0.0388127853881279,"(2,34,24,842)","TRUE","147/1052 (0.139733840304183)",1
"DST",0.27967795127741,0.24,0.162196679438059,"(6,127,19,656)","TRUE","640/1497 (0.42752171008684)",1
"FN1",0.279913771154756,0.0869565217391304,0.0441860465116279,"(2,38,21,822)","TRUE","204/1106 (0.184448462929476)",1
"SDK2",0.281156741713206,0.0416666666666667,0.01270207852194,"(1,11,23,855)","TRUE","193/1105 (0.174660633484163)",1
"KMT2D",0.281613021635273,0.0952380952380952,0.221709006928406,"(2,192,19,674)","TRUE","619/1477 (0.419092755585647)",1
"FRYL",0.287025902674437,0.0909090909090909,0.0471264367816092,"(2,41,20,829)","TRUE","193/1096 (0.176094890510949)",1
"UNC80",0.290842947542416,0.08,0.0417163289630513,"(2,35,23,804)","TRUE","293/1197 (0.244778613199666)",1
"CDC42BPB",0.291845548854844,0.0434782608695652,0.0139372822299652,"(1,12,22,849)","TRUE","113/1018 (0.111001964636542)",1
"CELSR1",0.295680163990722,0.0769230769230769,0.0406032482598608,"(2,35,24,827)","TRUE","237/1150 (0.206086956521739)",1
"ITPKB",0.29740115526948,0.0416666666666667,0.0136674259681093,"(1,12,23,866)","TRUE","113/1033 (0.109390125847047)",1
"CAMSAP1",0.297681999656529,0.0416666666666667,0.0136830102622577,"(1,12,23,865)","TRUE","122/1038 (0.117533718689788)",1
"SLIT1",0.297824611205935,0.0384615384615385,0.0125714285714286,"(1,11,25,864)","TRUE","119/1037 (0.114754098360656)",1
"LRP2",0.297932001819915,0.111111111111111,0.0593434343434343,"(2,47,16,745)","TRUE","434/1310 (0.331297709923664)",1
"MADD",0.300233369475664,0.0416666666666667,0.0138248847926267,"(1,12,23,856)","TRUE","112/1023 (0.109481915933529)",1
"DEPDC5",0.301239335045837,0.0384615384615385,0.0127462340672074,"(1,11,25,852)","TRUE","121/1034 (0.117021276595745)",1
"MET",0.304100988422602,0.04,0.0134831460674157,"(1,12,24,878)","TRUE","110/1033 (0.10648596321394)",1
"IL16",0.304947726599982,0.04,0.0135287485907554,"(1,12,24,875)","TRUE","106/1027 (0.103213242453749)",1
"DPP10",0.30608397539658,0.04,0.0135900339750849,"(1,12,24,871)","TRUE","117/1035 (0.11304347826087)",1
"DCDC1",0.309231723536117,0.0833333333333333,0.0455635491606715,"(2,38,22,796)","TRUE","216/1097 (0.19690063810392)",1
"COL11A2",0.310249400929827,0.0769230769230769,0.0421412300683371,"(2,37,24,841)","TRUE","149/1059 (0.140698772426818)",1
"ZFYVE26",0.312485716467132,0.04,0.0139372822299652,"(1,12,24,849)","TRUE","141/1048 (0.134541984732824)",1
"MUC19",0.315356050780198,0.08,0.044392523364486,"(2,38,23,818)","TRUE","184/1077 (0.170844939647168)",1
"ABCC11",0.316368953102475,0.0416666666666667,0.0148063781321185,"(1,13,23,865)","TRUE","117/1032 (0.113372093023256)",1
"SHROOM2",0.319251862252452,0.0384615384615385,0.0137614678899083,"(1,12,25,860)","TRUE","118/1031 (0.114451988360815)",1
"JMJD1C",0.320303742567316,0.0833333333333333,0.0468384074941452,"(2,40,22,814)","TRUE","192/1088 (0.176470588235294)",1
"LTN1",0.321738188060712,0.153846153846154,0.0989876265466817,"(4,88,22,801)","TRUE","176/1063 (0.165569143932267)",1
"DNAH12",0.322998755085907,0.0434782608695652,0.0159090909090909,"(1,14,22,866)","TRUE","132/1053 (0.125356125356125)",1
"MDGA2",0.325405229513426,0.0434782608695652,0.0160550458715596,"(1,14,22,858)","TRUE","128/1037 (0.123432979749277)",1
"TTC21B",0.327572016559187,0.04,0.0148401826484018,"(1,13,24,863)","TRUE","115/1031 (0.111542192046557)",1
"DPYD",0.331198597313162,0.0416666666666667,0.0157303370786517,"(1,14,23,876)","TRUE","114/1034 (0.110251450676983)",1
"AGAP2",0.334845467883489,0.0416666666666667,0.0159453302961276,"(1,14,23,864)","TRUE","121/1044 (0.115900383141762)",1
"REV3L",0.337875014422075,0.0869565217391304,0.0510204081632653,"(2,45,21,837)","TRUE","211/1115 (0.189237668161435)",1
"ENPEP",0.338810377962262,0.04,0.0155382907880133,"(1,14,24,887)","TRUE","118/1050 (0.112380952380952)",1
"APC",0.339491515669816,0.05,0.148230088495575,"(1,134,19,770)","TRUE","356/1259 (0.282764098490866)",1
"DOCK9",0.340844606842827,0.0434782608695652,0.0170648464163823,"(1,15,22,864)","TRUE","124/1042 (0.119001919385797)",1
"TDRD6",0.341102191184206,0.0416666666666667,0.0163170163170163,"(1,14,23,844)","TRUE","156/1067 (0.146204311152765)",1
"CDH9",0.343036683742053,0.0434782608695652,0.0172018348623853,"(1,15,22,857)","TRUE","136/1047 (0.129894937917861)",1
"ZNF568",0.348118148968065,0.0416666666666667,0.0167973124300112,"(1,15,23,878)","TRUE","105/1033 (0.101645692158761)",1
"TENM2",0.349109101597664,0.0434782608695652,0.0175219023779725,"(1,14,22,785)","TRUE","262/1144 (0.229020979020979)",1
"COL12A1",0.3496774814626,0.0833333333333333,0.0501750291715286,"(2,43,22,814)","TRUE","257/1156 (0.222318339100346)",1
"LEPR",0.350937978794101,0.0416666666666667,0.0169683257918552,"(1,15,23,869)","TRUE","110/1037 (0.106075216972035)",1
"ARHGAP35",0.354137620345902,0.0769230769230769,0.0467706013363029,"(2,42,24,856)","TRUE","131/1058 (0.123818525519849)",1
"RYR3",0.355990666775468,0.0833333333333333,0.05078125,"(2,39,22,729)","TRUE","422/1290 (0.327131782945736)",1
"COL22A1",0.356271308050256,0.0869565217391304,0.0531400966183575,"(2,44,21,784)","TRUE","247/1117 (0.221128021486124)",1
"CDK5RAP2",0.356388376664441,0.0416666666666667,0.0173010380622837,"(1,15,23,852)","TRUE","117/1029 (0.113702623906706)",1
"URB2",0.357367478411517,0.0416666666666667,0.0173611111111111,"(1,15,23,849)","TRUE","128/1036 (0.123552123552124)",1
"SLITRK5",0.359672671866854,0.0416666666666667,0.0175029171528588,"(1,15,23,842)","TRUE","163/1069 (0.152478952291862)",1
"EPB41L2",0.360755555230207,0.04,0.0168728908886389,"(1,15,24,874)","TRUE","109/1039 (0.104908565928778)",1
"DNAH3",0.360990604561246,0.0909090909090909,0.0561660561660562,"(2,46,20,773)","TRUE","349/1241 (0.281224818694601)",1
"IFT172",0.362195985753481,0.0434782608695652,0.0184757505773672,"(1,16,22,850)","TRUE","142/1050 (0.135238095238095)",1
"SHANK2",0.363520491673637,0.0434782608695652,0.0185614849187935,"(1,16,22,846)","TRUE","168/1075 (0.156279069767442)",1
"ABL2",0.364963257071584,0.04,0.0171232876712329,"(1,15,24,861)","TRUE","113/1030 (0.109708737864078)",1
"ADCY10",0.365619135117131,0.04,0.017162471395881,"(1,15,24,859)","TRUE","117/1030 (0.113592233009709)",1
"NLRP4",0.368599348057552,0.04,0.0173410404624277,"(1,15,24,850)","TRUE","136/1047 (0.129894937917861)",1
"CTNNA3",0.37258799612935,0.0384615384615385,0.0169109357384442,"(1,15,25,872)","TRUE","110/1036 (0.106177606177606)",1
"CDH12",0.373903561014787,0.0384615384615385,0.0169875424688562,"(1,15,25,868)","TRUE","124/1046 (0.118546845124283)",1
"AFF3",0.374041724047359,0.0416666666666667,0.0184544405997693,"(1,16,23,851)","TRUE","129/1046 (0.123326959847036)",1
"LRRIQ1",0.374350623182319,0.08,0.0508670520231214,"(2,44,23,821)","TRUE","206/1110 (0.185585585585586)",1
"PLXNB2",0.377568596067389,0.0384615384615385,0.0172018348623853,"(1,15,25,857)","TRUE","177/1103 (0.160471441523119)",1
"DAPK1",0.382902148114759,0.04,0.0182648401826484,"(1,16,24,860)","TRUE","126/1047 (0.120343839541547)",1
"ZNF862",0.385971422131658,0.04,0.0184544405997693,"(1,16,24,851)","TRUE","106/1023 (0.103616813294233)",1
"RP1L1",0.387339810444519,0.05,0.0232843137254902,"(1,19,19,797)","TRUE","292/1169 (0.249786142001711)",1
"SIPA1L3",0.3876973862743,0.04,0.0185614849187935,"(1,16,24,846)","TRUE","161/1077 (0.149489322191272)",1
"SMARCA4",0.390400111244139,0,0.0663449939686369,"(NA,55,22,774)","TRUE","238/1109 (0.214607754733995)",1
"ASH1L",0.390856045120262,0,0.064367816091954,"(NA,56,22,814)","TRUE","219/1114 (0.196588868940754)",1
"RERE",0.391507414739136,0,0.0612244897959184,"(NA,54,23,828)","TRUE","161/1068 (0.150749063670412)",1
"TNRC6C",0.391730970142104,0,0.0602006688963211,"(NA,54,24,843)","TRUE","176/1094 (0.160877513711152)",1
"MEGF8",0.391776460306776,0,0.0655926352128884,"(NA,57,23,812)","TRUE","224/1128 (0.198581560283688)",1
"LRP1",0.392558169345532,0,0.071078431372549,"(NA,58,22,758)","TRUE","350/1237 (0.282942603071948)",1
"F8",0.393238727759136,0,0.058891454965358,"(NA,51,26,815)","TRUE","196/1089 (0.179981634527089)",1
"SBF2",0.396264471506849,0.0384615384615385,0.0183696900114811,"(1,16,25,855)","TRUE","118/1029 (0.114674441205053)",1
"KIAA1211",0.398149009112248,0,0.0718358038768529,"(NA,63,23,814)","TRUE","171/1066 (0.160412757973734)",1
"ARHGAP21",0.398618563270516,0.04,0.0192962542565267,"(1,17,24,864)","TRUE","122/1040 (0.117307692307692)",1
"TPR",0.399901406208125,0,0.0765661252900232,"(NA,66,22,796)","TRUE","220/1109 (0.198376916140667)",1
"TBC1D4",0.40198738226088,0.0416666666666667,0.0203619909502262,"(1,18,23,866)","TRUE","135/1062 (0.127118644067797)",1
"CEP170B",0.402104203154622,0.04,0.0195177956371986,"(1,17,24,854)","TRUE","130/1045 (0.124401913875598)",1
"GRID2",0.40233437562076,0.0416666666666667,0.0203850509626274,"(1,18,23,865)","TRUE","116/1031 (0.112512124151309)",1
"CCDC88B",0.40303011087686,0.0416666666666667,0.0204313280363224,"(1,18,23,863)","TRUE","118/1036 (0.113899613899614)",1
"MYH3",0.403342340625473,0.0384615384615385,0.0188014101057579,"(1,16,25,835)","TRUE","158/1064 (0.148496240601504)",1
"NLRP13",0.403515095785039,0.04,0.0196078431372549,"(1,17,24,850)","TRUE","142/1048 (0.135496183206107)",1
"EPB41L3",0.405322289653648,0.0454545454545455,0.0225225225225225,"(1,20,21,868)","TRUE","136/1049 (0.129647283126787)",1
"MYOM1",0.407129619140418,0.0434782608695652,0.0216400911161731,"(1,19,22,859)","TRUE","132/1039 (0.127045235803657)",1
"GRIN2A",0.408167617387673,0.04,0.0199063231850117,"(1,17,24,837)","TRUE","184/1092 (0.168498168498169)",1
"DCHS1",0.409181003329466,0.0434782608695652,0.0217391304347826,"(1,18,22,810)","TRUE","231/1126 (0.205150976909414)",1
"ZNF141",0.411563252638971,0.130434782608696,0.075187969924812,"(3,70,20,861)","TRUE","109/1016 (0.107283464566929)",1
"ARID4B",0.411938128705208,0.115384615384615,0.066079295154185,"(3,60,23,848)","TRUE","127/1039 (0.12223291626564)",1
"WDR17",0.413837969211715,0.0454545454545455,0.0231481481481481,"(1,20,21,844)","TRUE","142/1048 (0.135496183206107)",1
"SLC4A8",0.415549346962224,0.04,0.0204313280363224,"(1,18,24,863)","TRUE","103/1015 (0.101477832512315)",1
"MED12",0.418048553494238,0.04,0.0205949656750572,"(1,18,24,856)","TRUE","178/1096 (0.162408759124088)",1
"TDRD1",0.419385613884813,0.0434782608695652,0.0225479143179256,"(1,20,22,867)","TRUE","107/1026 (0.104288499025341)",1
"PHIP",0.420275303860142,0.0416666666666667,0.0216400911161731,"(1,19,23,859)","TRUE","124/1043 (0.11888782358581)",1
"ITGAM",0.421887400350787,0.0434782608695652,0.0227272727272727,"(1,20,22,860)","TRUE","111/1028 (0.107976653696498)",1
"ARAP3",0.422968451533697,0.0434782608695652,0.0228050171037628,"(1,20,22,857)","TRUE","133/1050 (0.126666666666667)",1
"MXRA5",0.423158194556093,0.04,0.0208845208845209,"(1,17,24,797)","TRUE","219/1104 (0.198369565217391)",1
