"","pvalues","AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT)","NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"TENM4",0.0523020973397436,0.148562300319489,0.184713375796178,"(93,232,533,1024)","TRUE","247/2206 (0.111967361740707)",0.0860078934031339
"AHNAK",0.0636248376517319,0.234206471494607,0.273755656108597,"(152,363,497,963)","TRUE","407/2352 (0.173044217687075)",0.10347775793908
"UTRN",0.0651067478628886,0.141065830721003,0.174718196457327,"(90,217,548,1025)","TRUE","227/2202 (0.103088101725704)",0.104736942214212
"DCHS1",0.0667460851538479,0.130914826498423,0.163841807909605,"(83,203,551,1036)","TRUE","231/2201 (0.104952294411631)",0.106219576373865
"EP400",0.0695688985382479,0.162717219589258,0.198255352894528,"(103,250,530,1011)","TRUE","261/2217 (0.117726657645467)",0.109534010464475
"DNHD1",0.0712441535161477,0.177847113884555,0.212798766383963,"(114,276,527,1021)","TRUE","286/2267 (0.126157917953242)",0.110990891793578
"APOB",0.0777360609907859,0.252679938744257,0.291284403669725,"(165,381,488,927)","TRUE","448/2370 (0.189029535864979)",0.119591536562651
"FLNB",0.0786656302239107,0.132492113564669,0.163461538461538,"(84,204,550,1044)","TRUE","229/2208 (0.103713768115942)",0.119591536562651
"AHNAK2",0.0791889904266203,0.230886850152905,0.268292682926829,"(151,352,503,960)","TRUE","375/2332 (0.160806174957118)",0.119591536562651
"COL12A1",0.0802936052765321,0.158536585365854,0.191555903049257,"(104,245,552,1034)","TRUE","257/2262 (0.113616268788683)",0.120034884655826
"EP300",0.0859702880490755,0.170015455950541,0.203470031545741,"(110,258,537,1010)","TRUE","288/2260 (0.127433628318584)",0.127236026312632
"VPS13D",0.0894172166849981,0.145569620253165,0.177165354330709,"(92,225,540,1045)","TRUE","238/2220 (0.107207207207207)",0.13102720860772
"ABCA12",0.0906819572064059,0.148031496062992,0.179260450160772,"(94,223,541,1021)","TRUE","241/2205 (0.109297052154195)",0.131577741828903
"USP34",0.09362067732518,0.163328197226502,0.195160031225605,"(106,250,543,1031)","TRUE","254/2248 (0.112989323843416)",0.134522914991521
"ZDBF2",0.113104001688869,0.144674085850556,0.17429718875502,"(91,217,538,1028)","TRUE","239/2197 (0.108784706417843)",0.160141998430092
"HERC1",0.113614255642971,0.17601246105919,0.206598586017282,"(113,263,529,1010)","TRUE","287/2250 (0.127555555555556)",0.160141998430092
"BIRC6",0.11701948606695,0.219662058371736,0.252663622526636,"(143,332,508,982)","TRUE","361/2328 (0.155068728522337)",0.163385697527439
"FRAS1",0.125500295389962,0.174803149606299,0.20440251572327,"(111,260,524,1012)","TRUE","295/2254 (0.130878438331854)",0.173589193623499
"CNTNAP2",0.130418062633679,0.130914826498423,0.157377049180328,"(83,192,551,1028)","TRUE","221/2180 (0.101376146788991)",0.178721048794302
"FLG",0.135026211530848,0.325301204819277,0.35933983495874,"(216,479,448,854)","TRUE","543/2409 (0.225404732254047)",0.183338342262069
"UBR4",0.139724687178371,0.1875,0.216320246343341,"(123,281,533,1018)","TRUE","307/2302 (0.133362293657689)",0.187993215476354
"RIMS2",0.146949718250451,0.203100775193798,0.233359436178543,"(131,298,514,979)","TRUE","304/2253 (0.134931202840657)",0.195932957667268
"TNR",0.15347565679117,0.136291600633914,0.162714636140638,"(86,199,545,1024)","TRUE","225/2182 (0.103116406966086)",0.202807117902618
"ABCA2",0.194755606112052,0.116822429906542,0.138798701298701,"(75,171,567,1061)","TRUE","231/2222 (0.103960396039604)",0.255078138978616
"TTN",0.21120828934524,0.884154460719041,0.89640035118525,"(1328,3063,174,354)","TRUE","3524/6378 (0.552524302289119)",0.274200235290311
"FLG2",0.238363614702673,0.131955484896661,0.15272136474411,"(83,188,546,1043)","TRUE","223/2186 (0.102012808783166)",0.306763608486918
"DNAH1",0.242932102704282,0.17601246105919,0.199530516431925,"(113,255,529,1023)","TRUE","285/2263 (0.125939019001326)",0.308432069436486
"PLXNA4",0.243828054892357,0.15541601255887,0.177316293929712,"(99,222,538,1030)","TRUE","239/2210 (0.108144796380091)",0.308432069436486
"LRRK2",0.269208898865406,0.155905511811024,0.177184466019417,"(99,219,536,1017)","TRUE","263/2221 (0.118415128320576)",0.337651839254916
"PRUNE2",0.27816059432228,0.139717425431711,0.159772911597729,"(89,197,548,1036)","TRUE","239/2207 (0.10829179882193)",0.345947629913424
"TP53",0.282163891795969,0.764619883040936,0.742694226657163,"(523,1042,161,361)","TRUE","1306/2747 (0.47542773935202)",0.348002133215029
"IGFN1",0.292002076361809,0.150470219435737,0.170436187399031,"(96,211,542,1027)","TRUE","254/2212 (0.114828209764919)",0.357159564475601
"FMN2",0.295957410451679,0.179407176287051,0.199840127897682,"(115,250,526,1001)","TRUE","291/2236 (0.130143112701252)",0.359030301203676
"HYDIN",0.317976218433044,0.171561051004637,0.1912,"(111,239,536,1011)","TRUE","265/2233 (0.118674429019257)",0.382605531122687
"FLNC",0.326344181315798,0.176651305683564,0.195482866043614,"(115,251,536,1033)","TRUE","284/2276 (0.124780316344464)",0.389507571247888
"DMD",0.357889557358219,0.211332312404288,0.230828220858896,"(138,301,515,1003)","TRUE","342/2316 (0.147668393782383)",0.423741235912131
"CHD7",0.431874493627503,0.152777777777778,0.167993630573248,"(99,211,549,1045)","TRUE","242/2230 (0.108520179372197)",0.507281151245003
"ZFHX4",0.456052645910979,0.379834254143646,0.396551724137931,"(275,575,449,875)","TRUE","648/2593 (0.249903586579252)",0.531462925943503
"PXDNL",0.462419125104419,0.148902821316614,0.163149350649351,"(95,201,543,1031)","TRUE","237/2198 (0.107825295723385)",0.534672113401985
"KALRN",0.485870061793925,0.168992248062016,0.182329317269076,"(109,227,536,1018)","TRUE","255/2221 (0.114813147230977)",0.557432318957372
"RP1L1",0.492195876428702,0.177115987460815,0.190894568690096,"(113,239,525,1013)","TRUE","292/2243 (0.130182790905038)",0.560346074703445
"DIDO1",0.5640435748147,0.167456556082148,0.179425837320574,"(106,225,527,1029)","TRUE","257/2220 (0.115765765765766)",0.637240069256302
"URB1",0.596767009056329,0.157142857142857,0.168026101141925,"(99,206,531,1020)","TRUE","220/2165 (0.10161662817552)",0.661477880840627
"XIRP2",0.598879451728129,0.283211678832117,0.272108843537415,"(194,360,491,963)","TRUE","398/2373 (0.1677201854193)",0.661477880840627
"RYR3",0.598905648869216,0.271386430678466,0.283018867924528,"(184,375,494,950)","TRUE","422/2374 (0.177759056444819)",0.661477880840627
"CUBN",0.625987669156393,0.186544342507645,0.197160883280757,"(122,250,532,1018)","TRUE","325/2288 (0.142045454545455)",0.686267963223305
"VCAN",0.647660600784534,0.233082706766917,0.223446105428796,"(155,284,510,987)","TRUE","295/2257 (0.13070447496677)",0.70480712438317
"PRKDC",0.671405073701213,0.192248062015504,0.201416207710464,"(124,256,521,1015)","TRUE","271/2247 (0.120605251446373)",0.725313510275763
"MYO18B",0.678300061627549,0.21505376344086,0.206487341772152,"(140,261,511,1003)","TRUE","315/2264 (0.139134275618375)",0.727452240006357
"MUC17",0.744059144217182,0.261941448382126,0.269680436477007,"(170,346,479,937)","TRUE","414/2316 (0.178756476683938)",0.792235635569374
"KRAS",0.851518383428672,0.1968,0.192629815745394,"(123,230,502,964)","TRUE","257/2136 (0.120318352059925)",0.900176576767453
"HELZ2",0.896399744550667,0.164341085271318,0.167471819645733,"(106,208,539,1034)","TRUE","246/2218 (0.110910730387737)",0.924944245511556
"DYSF",0.896649484522792,0.165109034267913,0.167993630573248,"(106,211,536,1045)","TRUE","232/2214 (0.104787714543812)",0.924944245511556
"CNTNAP5",0.896685193776063,0.169517884914463,0.167343623070674,"(109,206,534,1025)","TRUE","234/2195 (0.106605922551253)",0.924944245511556
"NF1",0.899945752389622,0.182380216383308,0.179856115107914,"(118,225,529,1026)","TRUE","271/2234 (0.121307072515667)",0.924944245511556
"RYR2",0.927828860791846,0.43046357615894,0.428178694158076,"(325,623,430,832)","TRUE","715/2666 (0.268192048012003)",0.947025319980643
"WDFY4",0.950005879858746,0.182945736434109,0.181891025641026,"(118,227,527,1021)","TRUE","275/2236 (0.12298747763864)",0.957763690105997
"CDH23",0.951292313821497,0.193798449612403,0.195859872611465,"(125,246,520,1010)","TRUE","298/2247 (0.132621272808189)",0.957763690105997
"MUC4",0.96232853850646,0.394366197183099,0.392779783393502,"(280,544,430,841)","TRUE","656/2568 (0.255451713395639)",0.96232853850646
